case,event,date,numeric
1r,register application,2016-01-01 10:40:01,2858
1r,check credit,2016-01-01 13:26:01,2335
1r,calculate capacity,2016-01-01 12:26:01,21335
1r,check system,2016-01-01 18:26:01,3335
1r,accept,2016-01-01 18:26:01,41335
1r,send decision e-mail,2016-01-01 18:26:01,4335
2r,register application,2016-01-01 10:26:01,2335
2r,check credit,2016-01-01 13:26:01,2335
2r,calculate capacity,2016-01-01 12:26:01,21335
2r,check system,2016-01-01 18:26:01,3335
2r,accept,2016-01-01 18:26:01,41335
2r,send decision e-mail,2016-01-01 18:26:01,4335
3r,register application,2016-01-01 10:26:01,2335
3r,check credit,2016-01-01 13:26:01,2335
3r,calculate capacity,2016-01-01 12:26:01,21335
3r,check system,2016-01-01 18:26:01,3335
3r,accept,2016-01-01 18:26:01,41335
3r,send decision e-mail,2016-01-01 18:26:01,4335
4r,register application,2016-01-01 10:26:01,2335
4r,check credit,2016-01-01 13:26:01,2335
4r,calculate capacity,2016-01-01 12:26:01,21335
4r,check system,2016-01-01 18:26:01,3335
4r,accept,2016-01-01 18:26:01,41335
4r,send decision e-mail,2016-01-01 18:26:01,4335
5r,register application,2016-01-01 10:26:01,2335
5r,check credit,2016-01-01 13:26:01,2335
5r,calculate capacity,2016-01-01 12:24:01,20773
5r,check system,2016-01-01 18:24:01,2773
5r,accept,2016-01-01 18:53:01,44004
5r,send decision e-mail,2016-01-01 18:53:01,7004
6r,register application,2016-01-01 10:53:01,5004
6r,check credit,2016-01-01 13:53:01,5004
6r,calculate capacity,2016-01-01 12:53:01,24004
6r,check system,2016-01-01 18:53:01,6004
6r,accept,2016-01-01 18:53:01,44004
6r,send decision e-mail,2016-01-01 18:53:01,7004
7r,register application,2016-01-01 10:53:01,5004
7r,check credit,2016-01-01 13:53:01,5004
7r,calculate capacity,2016-01-01 12:53:01,24004
7r,check system,2016-01-01 18:53:01,6004
7r,accept,2016-01-01 18:53:01,44004
7r,send decision e-mail,2016-01-01 18:53:01,7004
8r,register application,2016-01-02 10:53:01,5004
8r,check credit,2016-01-02 13:53:01,5004
8r,calculate capacity,2016-01-02 12:53:01,24004
8r,check system,2016-01-02 18:53:01,6004
8r,accept,2016-01-02 18:53:01,44004
8r,send decision e-mail,2016-01-02 18:53:01,7004
9r,register application,2016-01-02 10:53:01,5004
9r,check credit,2016-01-02 13:53:01,5004
9r,calculate capacity,2016-01-02 12:53:01,24004
9r,check system,2016-01-02 18:53:01,6004
9r,accept,2016-01-02 18:53:01,44004
9r,send decision e-mail,2016-01-02 18:01:01,3300
10r,register application,2016-01-02 10:01:01,1300
10r,check credit,2016-01-02 13:01:01,1300
10r,calculate capacity,2016-01-02 12:01:01,20300
10r,check system,2016-01-02 18:01:01,2300
10r,accept,2016-01-02 18:01:01,40300
10r,send decision e-mail,2016-01-02 18:01:01,3300
11r,register application,2016-01-02 10:01:01,1300
11r,check credit,2016-01-02 13:01:01,1300
11r,calculate capacity,2016-01-02 12:01:01,20300
11r,check system,2016-01-02 18:01:01,2300
11r,accept,2016-01-02 18:01:01,40300
11r,send decision e-mail,2016-01-02 18:01:01,3300
12r,register application,2016-01-02 10:01:01,1300
12r,check credit,2016-01-02 13:01:01,1300
12r,calculate capacity,2016-01-02 12:01:01,20300
12r,check system,2016-01-02 18:01:01,2300
12r,accept,2016-01-02 18:01:01,40300
12r,send decision e-mail,2016-01-02 18:01:01,3300
13r,register application,2016-01-02 10:01:01,1300
13r,check credit,2016-01-02 13:01:01,1300
13r,calculate capacity,2016-01-02 12:01:01,20300
13r,check system,2016-01-02 18:01:01,2300
13r,accept,2016-01-02 18:01:01,40300
13r,send decision e-mail,2016-01-02 18:01:01,3300
14r,register application,2016-01-02 10:01:01,1300
14r,check credit,2016-01-02 13:01:01,1300
14r,calculate capacity,2016-01-02 12:01:01,20300
14r,check system,2016-01-02 18:01:01,2300
14r,accept,2016-01-02 18:01:01,40300
14r,send decision e-mail,2016-01-02 18:01:01,3300
15r,register application,2016-01-03 10:01:01,1300
15r,check credit,2016-01-03 13:01:01,1300
15r,calculate capacity,2016-01-03 12:01:01,20300
15r,check system,2016-01-03 18:31:01,4559
15r,accept,2016-01-03 18:31:01,42559
15r,send decision e-mail,2016-01-03 18:31:01,5559
16r,register application,2016-01-03 10:31:01,3559
16r,check credit,2016-01-03 13:31:01,3559
16r,calculate capacity,2016-01-03 12:31:01,22559
16r,check system,2016-01-03 18:31:01,4559
16r,accept,2016-01-03 18:31:01,42559
16r,send decision e-mail,2016-01-03 18:31:01,5559
17r,register application,2016-01-03 10:31:01,3559
17r,check credit,2016-01-03 13:31:01,3559
17r,calculate capacity,2016-01-03 12:31:01,22559
17r,check system,2016-01-03 18:31:01,4559
17r,accept,2016-01-03 18:31:01,42559
17r,send decision e-mail,2016-01-03 18:31:01,5559
18r,register application,2016-01-03 10:31:01,3559
18r,check credit,2016-01-03 13:31:01,3559
18r,calculate capacity,2016-01-03 12:31:01,22559
18r,check system,2016-01-03 18:31:01,4559
18r,accept,2016-01-03 18:31:01,42559
18r,send decision e-mail,2016-01-03 18:31:01,5559
19r,register application,2016-01-03 10:31:01,3559
